pathway	source	metabolites
S Phase	Wikipathways	kegg:C00010,kegg:C00105,kegg:C00008,kegg:C00009,kegg:C00020,kegg:C00024,kegg:C00002,kegg:C00001,kegg:C00055,kegg:C00286,kegg:C00459,kegg:C00458,kegg:C00144,kegg:C00131
Degradation of beta-catenin by the destruction complex	Wikipathways	kegg:C00002,kegg:C00008
Degradation of the extracellular matrix	Wikipathways	kegg:C00076
Toll-Like Receptors Cascades	Wikipathways	kegg:C04637,chebi:36704,chebi:36706,kegg:C00889,chebi:60192,chebi:46896,kegg:C00338,kegg:C06042
Visual phototransduction	Wikipathways	kegg:C00010,kegg:C00013,kegg:C00073,kegg:C02588,kegg:C00076,kegg:C00249,kegg:C03455,kegg:C00154,kegg:C00035,chebi:53153,kegg:C02593,kegg:C15493,kegg:C00422,kegg:C00865,kegg:C12287,chebi:70760,chebi:70761,chebi:70762,kegg:C00008,chebi:50277,kegg:C00187,kegg:C00009,kegg:C01330,kegg:C00080,kegg:C00942,kegg:C00899,kegg:C02530,kegg:C00238,kegg:C00044,kegg:C00023,kegg:C00165,kegg:C00350,kegg:C00376,kegg:C02094,kegg:C00006,kegg:C00007,kegg:C00004,kegg:C00005,kegg:C00002,kegg:C00003,kegg:C00001,kegg:C00777,chebi:71063,kegg:C00473,kegg:C00638,kegg:C00144,kegg:C02110,chebi:52592,kegg:C00416,kegg:C00305,chebi:71980,kegg:C17276
Translocation of GLUT4 to the plasma membrane	Wikipathways	kegg:C00076,kegg:C00008,kegg:C00009,kegg:C00020,kegg:C00002,kegg:C00035,kegg:C00044
SUMOylation	Wikipathways	kegg:C00020,kegg:C00013,kegg:C00002
Signaling by ERBB2	Wikipathways	kegg:C04637,kegg:C00008,kegg:C00002,kegg:C05981,kegg:C00035,kegg:C00044
Signaling by ERBB4	Wikipathways	kegg:C04637,kegg:C00038,kegg:C00008,kegg:C00002,kegg:C05981,kegg:C00035,chebi:50114,kegg:C00044
Binding and Uptake of Ligands by Scavenger Receptors	Wikipathways	kegg:C00159,kegg:C00012,chebi:64294,kegg:C05418,kegg:C00032,kegg:C00422,kegg:C00638,chebi:50828,chebi:60479,kegg:C00187,kegg:C01132,kegg:C13723,kegg:C14819,chebi:60125,kegg:C00338,chebi:50824,chebi:24505,kegg:C00607,kegg:C02530,kegg:C01019,kegg:C00518,kegg:C00007,kegg:C00140,kegg:C01194,chebi:24654,kegg:C00865,kegg:C00965,kegg:C08818,chebi:60156,chebi:64009,chebi:53014,kegg:C06042,kegg:C02737,chebi:36144,chebi:51050
M-G1 Transition	Wikipathways	kegg:C00002,kegg:C00008,kegg:C00009
Pre-NOTCH Expression and Processing	Wikipathways	kegg:C00029,kegg:C00015,kegg:C00035,kegg:C00128,kegg:C00055,kegg:C00043,kegg:C00325,kegg:C00052
Syndecan interactions	Wikipathways	kegg:C04637,kegg:C00641
Sphingolipid metabolism	Wikipathways	kegg:C00011,kegg:C00010,kegg:C01132,kegg:C00015,chebi:24402,kegg:C00267,kegg:C00059,kegg:C00154,kegg:C00029,kegg:C00157,kegg:C00588,kegg:C00283,kegg:C01582,kegg:C00836,kegg:C00009,kegg:C04730,kegg:C04884,kegg:C02960,kegg:C02686,kegg:C00984,kegg:C00080,chebi:61048,kegg:C12144,kegg:C00319,kegg:C00550,kegg:C00065,kegg:C01190,kegg:C00165,kegg:C01227,kegg:C00008,kegg:C00517,kegg:C00006,kegg:C00007,kegg:C00004,kegg:C00005,kegg:C00002,kegg:C00003,kegg:C00412,chebi:33575,kegg:C04737,kegg:C00270,kegg:C06123,kegg:C00001,kegg:D02189,kegg:C01290,kegg:C12126,kegg:C00076,kegg:C00195,kegg:C00305,kegg:C06125,kegg:C06124,kegg:C02934,kegg:C12145,kegg:C01120,kegg:C04555,chebi:61360,kegg:C00346
WNT ligand biogenesis and trafficking	Wikipathways	kegg:C00010,chebi:53152
Signaling by Activin	Wikipathways	kegg:C00002,kegg:C00008
MAP kinase activation in TLR cascade	Wikipathways	kegg:C00002,kegg:C00008
Cytosolic sensors of pathogen-associated DNA	Wikipathways	kegg:C00362,kegg:C00013,kegg:C00012,kegg:C00008,kegg:C00364,chebi:47037,chebi:71580,kegg:C00002,kegg:C00001,kegg:C00305,chebi:60125,kegg:C00360,kegg:C16463,chebi:53014,kegg:C00239,kegg:C00044
Cardiac Hypertrophic Response	Wikipathways	kegg:C00076,kegg:C01245,kegg:C02135,kegg:C00942
Class I MHC mediated antigen processing & presentation	Wikipathways	kegg:C00013,kegg:C00008,kegg:C00009,kegg:C00020,kegg:C00007,kegg:C00005,kegg:C00002,kegg:C00035,kegg:C00001,kegg:C00305,kegg:C00006,kegg:C00704,kegg:C00080,kegg:G00010,kegg:C00044
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Wikipathways	kegg:C14767,kegg:C14762,kegg:C04483,kegg:C00249,chebi:50122,kegg:C02528,kegg:C06427,chebi:36144,kegg:C00219,kegg:C07675,kegg:C01595,kegg:C03990,kegg:C06428
Assembly of collagen fibrils and other multimeric structures	Wikipathways	kegg:C00007,kegg:C00070,kegg:C00014,kegg:C00001,kegg:C00027
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Wikipathways	kegg:C00076
Selenium Metabolism and Selenoproteins	Wikipathways	kegg:C01528,kegg:C05688,kegg:C05172,kegg:C05335,kegg:C05684
MyD88 cascade initiated on plasma membrane	Wikipathways	kegg:C00002,kegg:C00008
Hair Follicle Development- Induction (Part 1 of 3)	Wikipathways	kegg:C00002,kegg:C00008
Human Complement System	Wikipathways	kegg:C00925,kegg:C11596,kegg:C06042,kegg:C00374,kegg:C00551
Felbamate Metabolism	Wikipathways	kegg:C16591,kegg:C07501,kegg:C16592,kegg:C16587
Detoxification of Reactive Oxygen Species	Wikipathways	kegg:C00038,kegg:C00070,kegg:C16845,kegg:C00032,kegg:C00704,kegg:C00016,kegg:C00080,kegg:C00127,kegg:C00088,kegg:C00533,kegg:C00008,kegg:C00009,kegg:C00006,kegg:C00007,kegg:C00005,kegg:C00002,kegg:C00027,chebi:38573,chebi:38574,kegg:C00001,chebi:49552,kegg:C19610,kegg:C00051
Differentiation Pathway	Wikipathways	kegg:C00072,kegg:C02979,kegg:C10798,pubchem-compound:16218924,kegg:C00153,kegg:C00245,kegg:C07253,kegg:C00777,kegg:C00473,kegg:C15643,pubchem-compound:5311272,kegg:C01529,pubchem-compound:4521392
Dopaminergic Neurogenesis	Wikipathways	kegg:C00777
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer	Wikipathways	kegg:C00819,kegg:C00186,kegg:C00031,kegg:C00022
Aryl Hydrocarbon Receptor Pathway	Wikipathways	chebi:72768
Liver X Receptor Pathway	Wikipathways	chebi:48705
Constitutive Androstane Receptor Pathway	Wikipathways	chebi:77326
Pregnane X Receptor pathway	Wikipathways	chebi:77318
Vitamin D Receptor Pathway	Wikipathways	chebi:48705
PPAR Alpha Pathway	Wikipathways	chebi:48705
Farnesoid X Receptor Pathway	Wikipathways	chebi:48705
Glucocorticoid Receptor Pathway	Wikipathways	chebi:63562
Estrogen Receptor Pathway	Wikipathways	chebi:48705
NRF2 pathway	Wikipathways	chebi:48705
Lipid storage and perilipins in skeletal muscle	Wikipathways	kegg:C00116
Oxytocin signaling	Wikipathways	kegg:C00076,kegg:C01245,kegg:C00746,chebi:49172
Nuclear Receptors in Lipid Metabolism and Toxicity	Wikipathways	chebi:35703,kegg:C00162,kegg:C01724,kegg:C01673,kegg:C01164,kegg:C00377,kegg:C00187,kegg:C00024,chebi:53030,kegg:C00777,chebi:24913,kegg:C01558
Transcriptional activation by NRF2	Wikipathways	chebi:47807,kegg:C10443,kegg:C10484
Synthesis and Degradation of Ketone Bodies	Wikipathways	kegg:C00356,chebi:13705,kegg:C00024,chebi:20067,kegg:C00332
FAS pathway and Stress induction of HSP regulation	Wikipathways	kegg:C00195,kegg:C00051,kegg:C00009
Osteoblast Signaling	Wikipathways	chebi:18367,kegg:C05443,kegg:C01330
Triacylglyceride Synthesis	Wikipathways	kegg:C00116,kegg:C00165,kegg:C00111,kegg:C00093,chebi:37554,kegg:C03372,pubchem-compound:5497152,chebi:16337,kegg:C00422,kegg:C01885
Overview of nanoparticle effects	Wikipathways	kegg:C00051
Chemical Compounds to monitor Proteins	Wikipathways	pubchem-compound:46907787,pubchem-compound:52912189,pubchem-compound:71271629,kegg:C15635,pubchem-compound:9956119
EV release from cardiac cells and their functional effects	Wikipathways	kegg:C05330,chebi:60151,kegg:C00469
Melatonin metabolism and effects	Wikipathways	kegg:C07534,pubchem-compound:65096,kegg:C01598,kegg:C05643,kegg:C00978,kegg:C05635,kegg:C00575,kegg:C00780,kegg:C01557,chebi:26519,chebi:33569
MFAP5-mediated ovarian cancer cell motility and invasiveness	Wikipathways	kegg:C00076,kegg:C01245,kegg:C00165
Rac1-Pak1-p38-MMP-2 pathway	Wikipathways	kegg:C05981
NoRC negatively regulates rRNA expression	Wikipathways	kegg:C00019,kegg:C00033,kegg:C00021
Aflatoxin activation and detoxification	Wikipathways	kegg:C00010,kegg:C19594,kegg:C19595,kegg:C00006,kegg:C00007,kegg:C00037,kegg:C00005,kegg:C00024,kegg:C00025,kegg:C00001,kegg:C00033,kegg:C16756,chebi:53107,chebi:53106,kegg:C00080,kegg:C00051,chebi:53108,kegg:C06800,kegg:C19585,kegg:C19586
MAPK6-MAPK4 signaling	Wikipathways	kegg:C00009,kegg:C00002,kegg:C00044,kegg:C00008,kegg:C00001
Oncogene Induced Senescence	Wikipathways	kegg:C00002,kegg:C00008
EPH-Ephrin signaling	Wikipathways	kegg:C04637,kegg:C00008,kegg:C00009,kegg:C00037,kegg:C00002,kegg:C00025,kegg:C00035,kegg:C00001,kegg:C00305,kegg:C00044
Mitochondrial translation	Wikipathways	kegg:C00234,kegg:C00035,kegg:C00044,kegg:C00101,kegg:C00009
PRC2 methylates histones and DNA	Wikipathways	kegg:C00019,kegg:C00021
Hedgehog ,on, state	Wikipathways	kegg:C00002,kegg:C00008
NIK---noncanonical NF-kB signaling	Wikipathways	kegg:C00002,kegg:C00008
O-linked glycosylation	Wikipathways	kegg:C00015,kegg:C00128,kegg:C00055,kegg:C00043,kegg:C00203,kegg:C00052
Hedgehog ,off, state	Wikipathways	kegg:C00013,kegg:C00008,kegg:C00002,kegg:C00305,kegg:C00575,kegg:C00044
Ligand-independent caspase activation via DCC	Wikipathways	kegg:C00002,kegg:C00008
mTOR signalling	Wikipathways	kegg:C00035,kegg:C00044,kegg:C00002,kegg:C05981,kegg:C00008
Miscellaneous transport and binding events	Wikipathways	kegg:C00305,kegg:C00013,kegg:C00491,chebi:77635,kegg:C00080
RHO GTPases regulate CFTR trafficking	Wikipathways	kegg:C00044
Signaling by Retinoic Acid	Wikipathways	kegg:C00010,kegg:C00016,kegg:C00154,kegg:C02990,kegg:C15493,kegg:C16677,kegg:C00376,kegg:C00024,kegg:C00083,kegg:C00080,chebi:63802,kegg:C00899,kegg:C00022,kegg:C00008,kegg:C00006,kegg:C00007,kegg:C00004,kegg:C00005,kegg:C00002,kegg:C00003,kegg:C00001,kegg:C00777,kegg:C00473,kegg:D01225,kegg:C02110,kegg:C00487,kegg:C17276
DNA Damage-Telomere Stress Induced Senescence	Wikipathways	chebi:26523,kegg:C00002,kegg:C00008
RHO GTPases activate IQGAPs	Wikipathways	kegg:C00076,kegg:C00044
Mitochondrial biogenesis	Wikipathways	kegg:C00008,kegg:C00020,kegg:C00249,kegg:C00002,kegg:C06427,chebi:36144,kegg:C00219,kegg:C01595,kegg:C06428
RAF-independent MAPK1-3 activation	Wikipathways	kegg:C00009,kegg:C00002,kegg:C00008,kegg:C00001
Signaling by FGFR4	Wikipathways	kegg:C04637,chebi:63448,kegg:C00008,kegg:C00009,kegg:C00002,kegg:C05981,kegg:C00035,kegg:C00925,kegg:C00044
Signaling by FGFR1	Wikipathways	kegg:C04637,chebi:63449,chebi:63448,kegg:C00008,kegg:C00009,chebi:63453,chebi:63451,kegg:C00002,kegg:C05981,kegg:C00035,kegg:C00925,chebi:65138,kegg:C00044,kegg:D05029
Signaling by FGFR3	Wikipathways	kegg:C04637,chebi:63449,chebi:63448,kegg:C00008,kegg:C00009,chebi:63453,chebi:63450,chebi:63451,kegg:C00002,kegg:C05981,kegg:C00035,kegg:C00925,chebi:65138,kegg:C00044,kegg:D05029
RHO GTPases activate KTN1	Wikipathways	kegg:C00044
Signaling by FGFR2	Wikipathways	kegg:C04637,chebi:63449,chebi:63448,kegg:C00008,kegg:C00009,chebi:63453,chebi:63451,kegg:C00002,kegg:C05981,kegg:C00035,kegg:C00925,chebi:65138,kegg:C00044
TCF dependent signaling in response to WNT	Wikipathways	kegg:C00010,kegg:C04637,kegg:C00008,kegg:C00019,kegg:C00021,kegg:C00153,kegg:C00024,kegg:C00003,kegg:C01277,chebi:62878,kegg:C00001,kegg:C00002
beta-catenin independent WNT signaling	Wikipathways	kegg:C00076,kegg:C04637,kegg:C00038,kegg:C00008,kegg:C00942,kegg:C00009,kegg:C00002,kegg:C00035,kegg:C00001,kegg:C00305,kegg:C14819,kegg:C01245,kegg:C00641,kegg:C00144,kegg:C02737,kegg:C00044
Activation of gene expression by SREBF (SREBP)	Wikipathways	kegg:C06427,kegg:C01595,kegg:C06428,kegg:C00219,kegg:C00249
Resolution of Abasic Sites (AP sites)	Wikipathways	kegg:C00013,kegg:C00009,kegg:C00153,kegg:C00003,kegg:C00001,kegg:C04283,kegg:C00301,kegg:C00934
Macroautophagy	Wikipathways	kegg:C11556,kegg:C00350,kegg:C00008,kegg:C00009,kegg:C00020,kegg:C00002,kegg:C00035,kegg:C01194,kegg:C04549,chebi:26034,kegg:C00044
TP53 Regulates Metabolic Genes	Wikipathways	kegg:C00668,kegg:C00016,kegg:C00035,kegg:C00665,kegg:C00070,kegg:C00020,kegg:C00085,kegg:C00080,kegg:C00127,kegg:C00044,kegg:C00064,kegg:C00008,kegg:C00009,kegg:C00006,kegg:C00007,kegg:C00005,kegg:C00002,kegg:C00025,kegg:C00027,chebi:38573,chebi:38574,kegg:C00001,kegg:C01342,kegg:C01236,kegg:C00051
RHO GTPases activate PAKs	Wikipathways	kegg:C00076,kegg:C00008,kegg:C00009,kegg:C00002,kegg:C00001,kegg:C00044
C-type lectin receptors (CLRs)	Wikipathways	kegg:C00076,kegg:C00013,kegg:C00038,kegg:C00010,kegg:C05981,kegg:C00035,kegg:C00464,kegg:C04637,chebi:82624,kegg:C11554,kegg:C14819,kegg:C01245,kegg:C00044,kegg:C00165,kegg:C00008,kegg:C00009,kegg:C00020,kegg:C00024,kegg:C00002,kegg:C00001,chebi:59524,kegg:C00965
BMAL1-CLOCK,NPAS2 activates circadian gene expression	Wikipathways	kegg:C00249,kegg:C06427,chebi:36144,kegg:C00219,kegg:C15643,kegg:C01595,kegg:C06428
RHO GTPases activate PKNs	Wikipathways	kegg:C03917,kegg:C00535,kegg:C00008,kegg:C00009,kegg:C00002,kegg:C05981,kegg:C00001,kegg:C00280,chebi:29117,kegg:C00044
Ligand-dependent caspase activation	Wikipathways	kegg:C00338
DNA methylation	Wikipathways	kegg:C00019,kegg:C00021
Uptake and function of diphtheria toxin	Wikipathways	kegg:C00153,kegg:C00003,kegg:C00080
Chromatin modifying enzymes	Wikipathways	kegg:C00011,kegg:C00010,kegg:C00067,kegg:C00008,kegg:C00019,kegg:C00007,kegg:C00024,chebi:57627,kegg:C00026,kegg:C00001,kegg:C00033,kegg:C00021,kegg:C00042,kegg:C00002
Sialic acid metabolism	Wikipathways	kegg:C00013,kegg:C00074,kegg:C00015,kegg:C00645,chebi:75127,chebi:75129,chebi:62634,kegg:C00063,kegg:C00128,kegg:C00080,kegg:C00270,kegg:C04257,kegg:C00008,kegg:C00009,kegg:C00022,kegg:C00002,chebi:21507,kegg:C00001,chebi:75133,chebi:75130,kegg:C06241,kegg:C00043,chebi:61248,kegg:C00305,kegg:C00055
Interferon type I signaling pathways	Wikipathways	kegg:C00044,kegg:C00035
SIRT1 negatively regulates rRNA Expression	Wikipathways	kegg:C00019,kegg:C00021,kegg:C00153,kegg:C00003,chebi:76279
RHO GTPases Activate ROCKs	Wikipathways	kegg:C00001,kegg:C00002,kegg:C00008,kegg:C00044,kegg:C00009
TNF signaling	Wikipathways	kegg:C00038
RORA activates gene expression	Wikipathways	kegg:C00249,kegg:C06427,chebi:36144,kegg:C00219,kegg:C01595,kegg:C06428
TET1,2,3 and TDG demethylate DNA	Wikipathways	kegg:C00011,chebi:76794,chebi:76793,kegg:C00072,kegg:C00007,kegg:C00026,kegg:C00001,kegg:C00042
Signaling by Leptin	Wikipathways	kegg:C00002,kegg:C00008
RHO GTPases activate CIT	Wikipathways	kegg:C00002,kegg:C00008,kegg:C00044
Melanin biosynthesis	Wikipathways	kegg:C00011,kegg:C00822,kegg:C00355,kegg:C15566,kegg:C00070,kegg:C16844,kegg:C05604,kegg:C00097,kegg:C00001,kegg:C00038,kegg:C00082,kegg:C04185,kegg:C00080,kegg:C00007,kegg:C05578
RHO GTPases Activate Formins	Wikipathways	kegg:C00008,kegg:C00009,kegg:C00002,kegg:C00035,kegg:C00001,kegg:C00305,kegg:C00044
Mismatch Repair	Wikipathways	kegg:C00013,kegg:C00008,kegg:C00020,kegg:C00002,kegg:C00286,kegg:C00459,kegg:C00458,kegg:C00131
Regulated Necrosis	Wikipathways	kegg:C04637,kegg:C00002,kegg:C05981,kegg:C00008,kegg:C01277
RHO GTPases Activate Rhotekin and Rhophilins	Wikipathways	kegg:C00044
RHO GTPases Activate WASPs and WAVEs	Wikipathways	kegg:C04637,kegg:C00008,kegg:C00009,kegg:C00002,kegg:C05981,kegg:C00044
Uptake and function of anthrax toxins	Wikipathways	kegg:C00076,kegg:C00013,kegg:C00038,kegg:C00002,kegg:C00080,kegg:C00575
Senescence-Associated Secretory Phenotype (SASP)	Wikipathways	kegg:C00019,kegg:C00021,kegg:C00002,kegg:C00008
NR1D1 (REV-ERBA) represses gene expression	Wikipathways	chebi:36144
Cellular response to heat stress	Wikipathways	kegg:C00010,kegg:C00008,kegg:C00009,kegg:C00002,kegg:C00153,kegg:C00024,kegg:C00003,kegg:C00001,chebi:76279
RHO GTPases Activate NADPH Oxidases	Wikipathways	kegg:C00016,kegg:C00006,kegg:C00032,kegg:C00005,kegg:C00704,kegg:C00080,kegg:C00007,kegg:C00044
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Wikipathways	kegg:C00011,kegg:C03917,kegg:C00535,kegg:C00008,kegg:C00007,kegg:C00002,kegg:C00026,kegg:C00067,kegg:C00280,kegg:C00042,chebi:29117
Base-Excision Repair, AP Site Formation	Wikipathways	kegg:C00106,kegg:C00262,kegg:C00178,kegg:C00147,kegg:C06502,chebi:29146,chebi:29147,chebi:29145,kegg:C20155,chebi:29128,chebi:29127,chebi:29115,kegg:C00429,kegg:C00913
Hedgehog ligand biogenesis	Wikipathways	kegg:C00010,kegg:C00008,kegg:C00009,kegg:C00187,kegg:C00002,kegg:C00154,kegg:C00001
Oxidative Stress Induced Senescence	Wikipathways	kegg:C00008,kegg:C00019,kegg:C00021,kegg:C00023,kegg:C00002,kegg:C00026,chebi:26523,kegg:C00042
RHO GTPase Effectors	Wikipathways	kegg:C00044
Evolocumab Mechanism	Wikipathways	chebi:47774
G Protein Signaling Pathways	Wikipathways	kegg:C00076,kegg:C00165,kegg:C01243,kegg:C00575
Fatty Acid Biosynthesis	Wikipathways	kegg:C00638,kegg:C00040,kegg:C00024,kegg:C00083
Mitochondrial LC-Fatty Acid Beta-Oxidation	Wikipathways	kegg:C00638,kegg:C00040,kegg:C05275,kegg:C00024
MAPK Signaling Pathway	Wikipathways	kegg:C00575
Mitochondrial Gene Expression	Wikipathways	kegg:C00076,kegg:C00942,kegg:C00575
Wnt Signaling Pathway and Pluripotency	Wikipathways	pubchem-compound:5287844
Nucleotide Metabolism	Wikipathways	kegg:C00077,kegg:C00130,kegg:C00242,kegg:C00262,kegg:C00366,kegg:C00385,kegg:C00750,kegg:C01367,kegg:C00147,kegg:C04677,kegg:C00144,kegg:C03794,kegg:C00315,chebi:48956,kegg:C00121,kegg:C01602,kegg:C00134,kegg:C04823
Oxidative Stress	Wikipathways	chebi:26523
mRNA Processing	Wikipathways	kegg:C00131,kegg:C00144
MAPK Cascade	Wikipathways	kegg:C00286,kegg:C00035
Oxidation by Cytochrome P450	Wikipathways	kegg:C00006,kegg:C00007,kegg:C00004,kegg:C00005,kegg:C00003,kegg:C00001,kegg:C14818,kegg:C14819
Statin Pathway	Wikipathways	kegg:C00162,kegg:C00165,kegg:C00695,kegg:C00187,kegg:C01834,chebi:35664,kegg:C00751,kegg:C00024,kegg:C00798,kegg:C00422,kegg:C00865,kegg:C02530,chebi:25350
GPCRs, Class A Rhodopsin-like	Wikipathways	chebi:60598,kegg:C00388,kegg:C04741,kegg:D00633,kegg:C16022,kegg:C00306,kegg:C01598,kegg:C00780,kegg:C02135
Tryptophan metabolism	Wikipathways	kegg:C00078,kegg:C00877,kegg:C06212,kegg:C00463,kegg:C05648,kegg:C05645,kegg:C01987,kegg:C05643,kegg:C00978,kegg:C01017,kegg:C02470,kegg:C00332,kegg:C00398,kegg:C02700,kegg:C00024,kegg:C01718,kegg:C02172,kegg:C01598,kegg:C05659,kegg:C02794,kegg:C05655,kegg:C02693,kegg:C05634,kegg:C02938,kegg:C00527,kegg:C05639
DNA Replication	Wikipathways	kegg:C00075,kegg:C00008,kegg:C00063,kegg:C00286,kegg:C00460,kegg:C00458,kegg:C00131
Endochondral Ossification	Wikipathways	chebi:60311,chebi:24864,kegg:C00007,kegg:C00575
Steroid Biosynthesis	Wikipathways	kegg:C03917,kegg:C00535,kegg:C00187,kegg:C00410,kegg:C05138,kegg:C00468,kegg:C01176,kegg:C00280,kegg:C01227,kegg:C01953,kegg:C02537,kegg:C14210
Urea cycle and metabolism of amino groups	Wikipathways	kegg:C00077,kegg:C03406,kegg:C00014,kegg:C02565,kegg:C00581,kegg:C00067,kegg:C00624,kegg:C01602,kegg:C00011,kegg:C03912,kegg:C00086,kegg:C00049,kegg:C01010,kegg:C00315,kegg:C00213,kegg:C00122,kegg:C00148,kegg:C00062,kegg:C00791,kegg:C00169,kegg:C00750,kegg:C00025,kegg:C00437,kegg:C03166,kegg:C01043,kegg:C01165,kegg:C00058,kegg:C00300,kegg:C00327,kegg:C00134
Glycogen Metabolism	Wikipathways	kegg:C00029,kegg:C00103,kegg:C00031,kegg:C00092,kegg:C00182,kegg:C00575
Regulation of Actin Cytoskeleton	Wikipathways	kegg:C04637,kegg:C00306,kegg:C00338,kegg:C01996,kegg:C05981
Amino acid conjugation of benzoic acid	Wikipathways	kegg:C00010,kegg:C00512,kegg:C00009,kegg:C00020,kegg:C00024,kegg:C00037,kegg:C00180,kegg:C01586,kegg:C00002
Acetylcholine Synthesis	Wikipathways	kegg:C00114,kegg:C01996,kegg:C00033,kegg:C00022,kegg:C00024,kegg:C00670,kegg:C00157,kegg:C00307,kegg:C00588
Glycolysis and Gluconeogenesis	Wikipathways	kegg:C00354,chebi:24344,kegg:C00074,kegg:C00111,kegg:C00186,kegg:C00022,kegg:C00092,kegg:C00024,kegg:C00036,kegg:C00236,kegg:C00085,kegg:C00661,kegg:C00049,kegg:C00597,kegg:C00031,kegg:C00711
Calcium Regulation in the Cardiac Cell	Wikipathways	kegg:C00076,kegg:C01996,kegg:C00008,kegg:C00009,kegg:C01330,kegg:C00788,kegg:C00575,kegg:C00131,kegg:C00238
Complement Activation, Classical Pathway	Wikipathways	kegg:C00001
Biogenic Amine Synthesis	Wikipathways	kegg:C00114,kegg:C00355,kegg:C00388,kegg:C00334,kegg:C01996,kegg:D00633,kegg:C00025,kegg:C00079,kegg:C00078,kegg:C00788,kegg:C01598,kegg:C00082,kegg:C00978,kegg:C00643,kegg:C00547,kegg:C00780,kegg:C00135
ACE Inhibitor Pathway	Wikipathways	kegg:C00076,kegg:C15852,chebi:35457,kegg:C00306,kegg:C03205,kegg:C15851,kegg:C00873,kegg:C02135,kegg:C01780,pubchem-compound:114805
Complement and Coagulation Cascades	Wikipathways	kegg:C00306,kegg:C00290
Heme Biosynthesis	Wikipathways	kegg:C00011,kegg:C00010,kegg:C00007,kegg:C01051,kegg:C00014,kegg:C02191,kegg:C00091,kegg:C00032,kegg:C00037,kegg:C00001,kegg:C14818,kegg:C00931,kegg:C03263,kegg:C00080,kegg:C01024,kegg:C00027
Monoamine GPCRs	Wikipathways	kegg:C01996,kegg:C07473,kegg:D00633,kegg:C00788,kegg:C00547,kegg:C00780,kegg:C00388
Oxidative phosphorylation	Wikipathways	kegg:C00008,kegg:C00004,kegg:C00002,kegg:C00003,kegg:C00282
Glucose Homeostasis	Wikipathways	kegg:C00077,kegg:C05466,kegg:C00149,kegg:C00262,kegg:C00062,kegg:C01089,kegg:C00186,kegg:C00031,kegg:C00183,kegg:C00116,kegg:C00079,kegg:C00407,kegg:C05465,kegg:C00082,kegg:C00327,kegg:C00073,kegg:C01586,kegg:C01921,kegg:C00022,kegg:C00047,kegg:C00135
Hypothetical Network for Drug Addiction	Wikipathways	kegg:C00217,chebi:29320,kegg:C00575
ErbB Signaling Pathway	Wikipathways	kegg:C04637,kegg:C05981
Arachidonate Epoxygenase - Epoxide Hydrolase	Wikipathways	chebi:34130,kegg:C14768,kegg:C14769,kegg:C00219,kegg:C14771,kegg:C14773,kegg:C14772,kegg:C14775,kegg:C14774
Catalytic cycle of mammalian FMOs	Wikipathways	kegg:C00016,kegg:C00006,kegg:C00007,kegg:C00005,kegg:C00001,kegg:C00080,pubchem-compound:25244872
Polyol Pathway	Wikipathways	kegg:C02336,kegg:C00794,kegg:C00111,kegg:C00031,kegg:C00661,kegg:C02154,kegg:C01094
Tamoxifen metabolism	Wikipathways	kegg:C05011,chebi:25212,kegg:C07108,kegg:C16548,kegg:D06551,chebi:32663,pubchem-compound:3033897,kegg:C00054,pubchem-compound:3032890,pubchem-compound:3035980,kegg:C00053
Sulfation Biotransformation Reaction	Wikipathways	kegg:C00008,kegg:C00006,kegg:C00005,kegg:C00002,kegg:C00059,kegg:C00224,kegg:C00054,kegg:C00127,kegg:C00051,kegg:C00053
Arylamine metabolism	Wikipathways	kegg:C00010,kegg:C00024,kegg:C07565
Benzo(a)pyrene metabolism	Wikipathways	pubchem-compound:105020
Estrogen metabolism	Wikipathways	pubchem-compound:114862,kegg:C03033,kegg:C00007,pubchem-compound:148381,kegg:C00468,kegg:C11132,kegg:C02538,kegg:C05299,kegg:C00704,kegg:C11133,kegg:C05298,kegg:C05302,kegg:C05300,kegg:C05301
Glucuronidation	Wikipathways	kegg:C00029,kegg:C00075,kegg:C00015,kegg:C00167,kegg:C00009,kegg:C00004,kegg:C00092,kegg:C00002,kegg:C00003,kegg:C00001,kegg:C00080,kegg:C00054,kegg:C00103,kegg:C00031
Aflatoxin B1 metabolism	Wikipathways	kegg:C19585,kegg:C16756,kegg:C06800,kegg:C11278,kegg:C19586
Methylation Pathways	Wikipathways	kegg:C00019,kegg:C00021,kegg:C00073,kegg:C00002,kegg:C00009
SIDS Susceptibility Pathways	Wikipathways	kegg:C00114,kegg:C00355,kegg:C01996,kegg:C05723,kegg:C00745,kegg:D00633,kegg:C00079,kegg:C00078,kegg:C01017,kegg:C05635,kegg:C00082,chebi:5119,kegg:C00334,kegg:C00780
DNA Damage Response	Wikipathways	kegg:C00951,chebi:22333
Estrogen signaling pathway	Wikipathways	kegg:C00951,kegg:C00575
Amino acid conjugation	Wikipathways	kegg:C00064,kegg:C00037,kegg:C00002,kegg:C00245,kegg:C00009
